        61        12         6        20
   2.69889E-08   2.75765E-08   2.69392E-08   2.52152E-08   2.15521E-08
   1.78729E-08   1.48005E-08   1.41858E-08   1.48001E-08   1.78118E-08
   2.15482E-08   2.53147E-08   2.69888E-08   2.75764E-08   2.69392E-08
   2.52153E-08   2.15522E-08   1.78729E-08   1.48006E-08   1.41859E-08
   1.48002E-08   1.78118E-08   2.15483E-08   2.53148E-08   2.69888E-08
   2.75764E-08   2.69392E-08   2.52153E-08   2.15522E-08   1.78730E-08
   1.48006E-08   1.41859E-08   1.48002E-08   1.78119E-08   2.15483E-08
   2.53148E-08   2.69888E-08   2.75764E-08   2.69392E-08   2.52153E-08
   2.15522E-08   1.78730E-08   1.48007E-08   1.41859E-08   1.48003E-08
   1.78119E-08   2.15483E-08   2.53148E-08   2.69888E-08   2.75764E-08
   2.69392E-08   2.52153E-08   2.15522E-08   1.78730E-08   1.48007E-08
   1.41860E-08   1.48003E-08   1.78119E-08   2.15483E-08   2.53148E-08
   2.69888E-08   2.75764E-08   2.69392E-08   2.52153E-08   2.15522E-08
   1.78730E-08   1.48007E-08   1.41860E-08   1.48003E-08   1.78119E-08
   2.15483E-08   2.53148E-08   2.69888E-08   2.75764E-08   2.69392E-08
   2.52153E-08   2.15523E-08   1.78730E-08   1.48007E-08   1.41860E-08
   1.48003E-08   1.78119E-08   2.15483E-08   2.53148E-08   2.69888E-08
   2.75764E-08   2.69392E-08   2.52153E-08   2.15523E-08   1.78730E-08
   1.48007E-08   1.41860E-08   1.48003E-08   1.78119E-08   2.15483E-08
   2.53148E-08   2.69888E-08   2.75764E-08   2.69392E-08   2.52153E-08
   2.15523E-08   1.78730E-08   1.48007E-08   1.41860E-08   1.48003E-08
   1.78119E-08   2.15483E-08   2.53148E-08   2.69888E-08   2.75764E-08
   2.69392E-08   2.52153E-08   2.15523E-08   1.78730E-08   1.48007E-08
   1.41860E-08   1.48003E-08   1.78119E-08   2.15483E-08   2.53148E-08
   2.69888E-08   2.75764E-08   2.69392E-08   2.52153E-08   2.15523E-08
   1.78730E-08   1.48007E-08   1.41860E-08   1.48003E-08   1.78119E-08
   2.15483E-08   2.53148E-08   2.69888E-08   2.75764E-08   2.69392E-08
